Vendor|CardName|AnnualFee|BenefitDescription|AdditionalDetails|BenefitCategory|TimeCategory|DollarValue|EnrollmentRequired|EffectiveDate|BenefitDescriptionShort|BenefitType|NumericValue
Goldman Sachs|Apple Card|0|3% Daily Cash back at Apple and select partners when using Apple Card with Apple Pay||Apple,Shopping|Permanent|N/A|False|2025-11-29|Apple Bonus|Cashback|3
Goldman Sachs|Apple Card|0|2% Daily Cash back on all purchases using Apple Card with Apple Pay||All Purchases|Permanent|N/A|False|2025-11-29|Apple Pay Bonus|Cashback|2
Goldman Sachs|Apple Card|0|1% Daily Cash back on purchases using the physical Apple Card||All Purchases|Permanent|N/A|False|2025-11-29|Physical Card|Cashback|1
Goldman Sachs|Apple Card|0|Daily Cash deposited daily|can be automatic to Savings account with interest|Savings Interest|Permanent|N/A|False|2025-11-29|Daily Cash|Perk|N/A
Citi|Costco Anywhere Visa® Card by Citi|0|5% cash back on gas at Costco||Gas|Permanent|N/A|False|2025-11-29|Costco Gas|Cashback|5
Citi|Costco Anywhere Visa® Card by Citi|0|4% cash back on eligible gas and EV charging worldwide|combined with Costco gas up to $7,000 per year then 1%|Gas|Permanent (annual cap)|N/A|False|2025-11-29|Gas Bonus|Cashback|4
Citi|Costco Anywhere Visa® Card by Citi|0|3% cash back on restaurants and eligible travel|including Costco Travel|Dining,Travel|Permanent|N/A|False|2025-11-29|Dining & Travel|Cashback|3
Citi|Costco Anywhere Visa® Card by Citi|0|2% cash back on all other Costco and Costco.com purchases||Shopping|Permanent|N/A|False|2025-11-29|Costco Purchases|Cashback|2
Citi|Costco Anywhere Visa® Card by Citi|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Citi|Costco Anywhere Visa® Card by Citi|0|Annual reward certificate redeemable at U.S. Costco warehouses||Shopping|Annually (February statement)|N/A|False|2025-11-29|Reward Certificate|Perk|N/A
Bank of America|Bank of America® Travel Rewards Credit Card|0|Unlimited 1.5 points per $1 on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Points|Multiplier|1.5
Bank of America|Bank of America® Travel Rewards Credit Card|0|3 points per $1 on purchases through the Bank of America Travel Center||Travel|Permanent|N/A|False|2025-11-29|Portal Travel|Multiplier|3
Bank of America|Bank of America® Premium Rewards® Credit Card|95|2 points per $1 on travel and dining purchases||Travel,Dining|Permanent|N/A|False|2025-11-29|Travel & Dining|Multiplier|2
Bank of America|Bank of America® Premium Rewards® Credit Card|95|1.5 points per $1 on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Points|Multiplier|1.5
Bank of America|Bank of America® Premium Rewards® Credit Card|95|Up to 75% more points with Preferred Rewards status||Rewards Boost|Permanent|N/A|False|2025-11-29|Rewards Boost|Bonus|75
Bank of America|Bank of America® Premium Rewards® Credit Card|95|$100 annual airline incidental credit||Airline|Annually (calendar year)|100|False|2025-11-29|Airline Credit|Credit|100
Bank of America|Bank of America® Premium Rewards® Credit Card|95|Up to $100 Global Entry or TSA PreCheck application fee credit||Travel Security|Every 4 years|100|False|2025-11-29|TSA Credit|Credit|100
Chase|Ink Business Cash® Credit Card|0|5% cash back on the first $25,000 spent in combined purchases at office supply stores and on internet cable and phone services each account anniversary year||Office Supplies,Telecom|Permanent (anniversary year cap)|N/A|False|2025-11-29|Office & Telecom|Cashback|5
Chase|Ink Business Cash® Credit Card|0|2% cash back on the first $25,000 spent in combined purchases at gas stations and restaurants each account anniversary year||Gas,Dining|Permanent (anniversary year cap)|N/A|False|2025-11-29|Gas & Dining|Cashback|2
Chase|Ink Business Cash® Credit Card|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Chase|Ink Business Unlimited® Credit Card|0|Unlimited 1.5% cash back on all business purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
Citi|Citi® Custom Cash® Card|0|5% cash back on your top eligible spend category each billing cycle|up to $500 spent then 1%|Top Category|Permanent (monthly)|N/A|False|2025-11-29|Top Category|Cashback|5
Citi|Citi® Custom Cash® Card|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
Citi|Citi® Secured Mastercard®|0|No rewards or cash back|credit-building card|Credit Building|Permanent|N/A|False|2025-11-29|Credit Building|Perk|N/A
Synchrony|Best Buy® Credit Card|0|5% back in rewards on Best Buy purchases|or special financing|Electronics|Permanent|N/A|False|2025-11-29|Best Buy Bonus|Cashback|5
Synchrony|Amazon Prime Store Card|0|5% back at Amazon.com with eligible Prime membership|or special financing|Shopping,Amazon|Permanent|N/A|False|2025-11-29|Amazon Bonus|Cashback|5
Synchrony|Amazon Store Card|0|Special financing offers on Amazon.com purchases|no rewards without Prime|Shopping,Amazon|Permanent|N/A|False|2025-11-29|Special Financing|Perk|N/A
Wells Fargo|Wells Fargo Active Cash® Secured Credit Card|0|Unlimited 2% cash rewards on purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|2
Wells Fargo|Wells Fargo Autograph® Card|0|Unlimited 3x points on restaurants travel gas/EV charging transit popular streaming services phone plans||Dining,Travel,Gas,Transit,Streaming,Telecom|Permanent|N/A|False|2025-11-29|Bonus Categories|Multiplier|3
Wells Fargo|Wells Fargo Autograph® Card|0|1x points on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Points|Multiplier|1
Wells Fargo|Wells Fargo Reflect® Secured Credit Card|0|Cell phone protection up to $600 per claim|$25 deductible|Cell Phone Protection|Permanent (per claim)|600|False|2025-11-29|Phone Protection|Protection|600
USAA|USAA® Cashback Rewards Plus American Express® Card|0|5% cash back on up to $3,000 in gas and military base purchases annually||Gas|Permanent (annual cap)|N/A|False|2025-11-29|Gas Bonus|Cashback|5
USAA|USAA® Cashback Rewards Plus American Express® Card|0|2% cash back on up to $3,000 in grocery purchases annually||Groceries|Permanent (annual cap)|N/A|False|2025-11-29|Grocery Bonus|Cashback|2
USAA|USAA® Cashback Rewards Plus American Express® Card|0|1% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Cashback|Cashback|1
USAA|USAA® Preferred Cash Rewards Visa Signature® Card|0|Unlimited 1.5% cash back on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
PNC|PNC Core® Visa® Credit Card|0|Unlimited 1.5% cash back on all purchases|some versions higher with relationship|All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
PNC|PNC Premier Traveler® Visa Signature® Credit Card|0|3x miles on travel purchases||Travel|Permanent|N/A|False|2025-11-29|Travel Miles|Multiplier|3
PNC|PNC Premier Traveler® Visa Signature® Credit Card|0|2x miles on all other purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Miles|Multiplier|2
Navy Federal|Navy Federal nRewards® Secured Credit Card|0|1 point per $1 on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Everyday Points|Multiplier|1
PenFed|PenFed Power Cash Rewards Visa Signature® Card|0|2% cash back for Honors Advantage members|otherwise 1.5%|All Purchases|Permanent|N/A|False|2025-11-29|Cash Back|Cashback|2
PenFed|PenFed Pathfinder® Rewards Visa Signature® Card|95|4x points on travel|5x for Honors Advantage|Travel|Permanent|N/A|False|2025-11-29|Travel Bonus|Multiplier|4
PenFed|PenFed Pathfinder® Rewards Visa Signature® Card|95|$100 annual airline credit||Airline|Permanent (calendar year)|100|False|2025-11-29|Airline Credit|Credit|100
Huntington|Huntington Voice® Visa® Card|0|3x points in choice category|10 choices quarterly change|Choice Category|Permanent (quarterly choice)|N/A|False|2025-11-29|Choice Bonus|Multiplier|3
U.S. Bank|U.S. Bank Altitude® Connect Visa Signature® Card|0|5x points on prepaid hotels & car rentals booked through Altitude Rewards Center||Hotel,Rental Cars|Permanent|N/A|False|2025-11-29|Portal Hotels|Multiplier|5
U.S. Bank|U.S. Bank Altitude® Connect Visa Signature® Card|0|4x points on travel and gas/EV charging|gas/EV on first $1,000 per quarter|Travel,Gas|Permanent|N/A|False|2025-11-29|Travel & Gas|Multiplier|4
U.S. Bank|U.S. Bank Altitude® Connect Visa Signature® Card|0|2x points on dining grocery stores streaming services||Dining,Groceries,Streaming|Permanent|N/A|False|2025-11-29|Dining & Grocery|Multiplier|2
U.S. Bank|U.S. Bank Altitude® Connect Visa Signature® Card|0|Up to $100 Global Entry/TSA PreCheck credit||Travel Security|Every 4 years|100|False|2025-11-29|TSA Credit|Credit|100
U.S. Bank|U.S. Bank Altitude® Connect Visa Signature® Card|0|4 Priority Pass Select visits per year||Lounge Access|Permanent|N/A|False|2025-11-29|Priority Pass|Access|4
U.S. Bank|U.S. Bank Altitude® Reserve Visa Infinite® Card|400|$325 annual travel/dining credit||Travel,Dining|Annually (anniversary year)|325|False|2025-11-29|Travel & Dining Credit|Credit|325
U.S. Bank|U.S. Bank Altitude® Reserve Visa Infinite® Card|400|12 Priority Pass visits per year|unlimited guests at $32 each after|Lounge Access|Permanent|N/A|False|2025-11-29|Priority Pass|Access|12
U.S. Bank|U.S. Bank Altitude® Reserve Visa Infinite® Card|400|Global Entry/TSA PreCheck credit||Travel Security|Every 4 years|100|False|2025-11-29|TSA Credit|Credit|100
Synchrony|Lowe’s® Advantage Card|0|5% off every day at Lowe's|or special financing|Home Improvement|Permanent|N/A|False|2025-11-29|Lowe's Discount|Cashback|5
Synchrony|Sam’s Club® Mastercard®|0|5% cash back on gas 3% dining & takeout 1% other|up to $6,000/year|Gas,Dining|Permanent|N/A|False|2025-11-29|Gas Bonus|Cashback|5
Synchrony|PayPal Credit®|0|Promotional financing offers on PayPal purchases||Online Shopping|Permanent|N/A|False|2025-11-29|Promotional Financing|Perk|N/A
PNC|PNC Cash Rewards® Visa Credit Card|0|4% cash back on gas 3% restaurants 2% grocery|up to caps|Gas,Dining,Groceries|Permanent|N/A|False|2025-11-29|Bonus Categories|Cashback|4
Santander|Santander Unlimited Cash® Rewards Card|0|Unlimited 1.5% cash back on all purchases||All Purchases|Permanent|N/A|False|2025-11-29|Flat Cashback|Cashback|1.5
Wells Fargo|Bilt Mastercard|0|1x points on rent payments|up to 100,000 points per calendar year; no transaction fees when paid through Bilt App; requires at least 5 posted transactions per billing cycle to earn points|Rent|Permanent (calendar year cap)|N/A|False|2025-12-06|Rent Points|Multiplier|1
Wells Fargo|Bilt Mastercard|0|3x points on dining|including takeout & eligible delivery; requires at least 5 posted transactions per billing cycle to earn points|Dining|Permanent|N/A|False|2025-12-06|Dining Bonus|Multiplier|3
Wells Fargo|Bilt Mastercard|0|2x points on travel|booked directly with airlines, hotels, car rentals, cruise lines, or travel agencies; requires at least 5 posted transactions per billing cycle to earn points|Travel|Permanent|N/A|False|2025-12-06|Travel Bonus|Multiplier|2
Wells Fargo|Bilt Mastercard|0|1x points on all other purchases|requires at least 5 posted transactions per billing cycle to earn points|All Purchases|Permanent|N/A|False|2025-12-06|Everyday Points|Multiplier|1
Wells Fargo|Bilt Mastercard|0|Rent Day double points bonus (1st of each month)|doubles non-rent categories (6x dining, 4x travel, 2x other); max 10,000 bonus points per Rent Day|Dining,Travel,All Purchases|Monthly|N/A|False|2025-12-06|Rent Day Bonus|Bonus|10000
Wells Fargo|Bilt Mastercard|0|Cell phone protection when bill paid with card|up to $800 per claim, $25 deductible (max $1,000 reimbursement per 12-month period)|Cell Phone Protection|Permanent (per claim)|800|False|2025-12-06|Phone Protection|Protection|800
Wells Fargo|Bilt Mastercard|0|No foreign transaction fees||Travel|Permanent|N/A|False|2025-12-06|No FTF|Perk|N/A
Chase|Ink Business Preferred® Credit Card|95|3 points per $1 on the first $150,000 spent in combined purchases on travel, shipping, internet/cable/phone services, and advertising on social media/search engines each account anniversary year||Travel,Shipping,Telecom,Advertising|Annually (anniversary year)|N/A|False|2025-12-07|Business Categories Bonus|Multiplier|3
Chase|Ink Business Preferred® Credit Card|95|Unlimited 1 point per $1 on all other purchases||All Purchases|Permanent|N/A|False|2025-12-07|Everyday Earnings|Multiplier|1
Chase|Ink Business Preferred® Credit Card|95|5x total points on Lyft rides|through September 30, 2027|Rideshare|Permanent|N/A|False|2025-12-07|Lyft Bonus|Multiplier|5
Chase|Ink Business Preferred® Credit Card|95|Complimentary DashPass membership|activate by 12/31/2027|Delivery|Minimum 12 months from activation|N/A|True|2025-12-07|DashPass|Perk|N/A
Chase|Ink Business Preferred® Credit Card|95|Up to $10 quarterly statement credit on one non-restaurant DoorDash order||Delivery|Quarterly|40|True|2025-12-07|DoorDash Non-Restaurant Credit|Credit|40
Chase|Ink Business Preferred® Credit Card|95|Cell phone protection|up to $1,000 per claim ($100 deductible), max 3 claims per 12 months|Cell Phone Protection|Per Claim|1000|False|2025-12-07|Cell Phone Protection|Protection|1000
Chase|Ink Business Preferred® Credit Card|95|Primary auto rental collision damage waiver|up to vehicle MSRP value (most vehicles)|Rental Cars|Per Claim|N/A|False|2025-12-07|Primary Rental Coverage|Protection|N/A
Chase|Ink Business Preferred® Credit Card|95|No foreign transaction fees||Travel|Permanent|N/A|False|2025-12-07|No FTF|Perk|N/A
Chase|Ink Business Premier® Credit Card|195|Unlimited 2.5% cash back on every purchase of $5,000 or more||Large Purchases|Permanent|N/A|False|2025-12-07|Large Purchase Bonus|Cashback|2.5
Chase|Ink Business Premier® Credit Card|195|Unlimited 2% cash back on all other purchases||All Purchases|Permanent|N/A|False|2025-12-07|Everyday Cashback|Cashback|2
Chase|Ink Business Premier® Credit Card|195|5% cash back on travel purchased through Chase Travel||Travel|Permanent|N/A|False|2025-12-07|Portal Travel Bonus|Cashback|5
Chase|Ink Business Premier® Credit Card|195|Cell phone protection|up to $1,000 per claim ($100 deductible), max 3 claims per 12 months|Cell Phone Protection|Per Claim|1000|False|2025-12-07|Cell Phone Protection|Protection|1000
American Express|The Business Platinum Card® from American Express|695|5x points on flights and prepaid hotels booked through Amex Travel||Flights,Hotel|Permanent|N/A|False|2025-12-07|Flights & Prepaid Hotels Bonus|Multiplier|5
American Express|The Business Platinum Card® from American Express|695|1.5x points on eligible purchases of $5,000+ and 8 select business categories|up to $2M per calendar year then 1x|Business Categories,Large Purchases|Permanent|N/A|False|2025-12-07|Large & Select Business Bonus|Multiplier|1.5
American Express|The Business Platinum Card® from American Express|695|$200 Airline Fee Credit|incidental fees, selected airline, enrollment required|Airline|Annually (calendar year)|200|True|2025-12-07|Airline Fee Credit|Credit|200
American Express|The Business Platinum Card® from American Express|695|$400 Dell Technologies Credit|$200 semi-annually, enrollment required|Tech|Semi-annually|400|True|2025-12-07|Dell Credit|Credit|400
American Express|The Business Platinum Card® from American Express|695|$360 Indeed Credit|$90 quarterly, enrollment required|Hiring|Quarterly|360|True|2025-12-07|Indeed Credit|Credit|360
American Express|The Business Platinum Card® from American Express|695|$150 Adobe Annual Credit|enrollment required|Software|Annually|150|True|2025-12-07|Adobe Credit|Credit|150
American Express|The Business Platinum Card® from American Express|695|$120 Wireless Telephone Credit|$10 monthly on U.S. providers, enrollment required|Telecom|Monthly|120|True|2025-12-07|Wireless Credit|Credit|120
American Express|The Business Platinum Card® from American Express|695|$189 CLEAR® Plus Credit|enrollment required|Travel Security|Annually|189|True|2025-12-07|CLEAR Credit|Credit|189
American Express|The Business Platinum Card® from American Express|695|$155 Walmart+ monthly membership credit||Shopping|Monthly|155|True|2025-12-07|Walmart+ Credit|Credit|155
American Express|The Business Platinum Card® from American Express|695|Centurion, Priority Pass, Delta Sky Club & more lounge access|unlimited + 2 guests (some networks)|Lounge Access|Permanent|N/A|True|2025-12-07|Global Lounge Access|Access|N/A
American Express|American Express® Business Gold Card|375|4x points on the top 2 eligible categories each billing cycle (up to $150,000 combined per calendar year, then 1x)|6 categories: airfare direct, U.S. advertising (select media), U.S. gas stations, U.S. restaurants, U.S. electronic goods/software/cloud, transit|Business Categories|Permanent|N/A|False|2025-12-07|Top 2 Categories Bonus|Multiplier|4
American Express|American Express® Business Gold Card|375|3x points on flights and prepaid hotels booked on AmexTravel.com||Flights,Hotel|Permanent|N/A|False|2025-12-07|Flights & Hotels Bonus|Multiplier|3
American Express|American Express® Business Gold Card|375|$240 Flexible Business Credit|$20 monthly at select merchants (FedEx, Grubhub, office supplies), enrollment required|Business Expenses|Monthly|240|True|2025-12-07|Flexible Business Credit|Credit|240
American Express|American Express® Business Gold Card|375|$155 Walmart+ monthly membership credit||Shopping|Monthly|155|True|2025-12-07|Walmart+ Credit|Credit|155
American Express|Blue Business® Plus Credit Card from American Express|0|2x Membership Rewards points on everyday business purchases|up to $50,000 per calendar year then 1x|All Purchases|Permanent|N/A|False|2025-12-07|Everyday Bonus|Multiplier|2
American Express|Blue Business Cash™ Card from American Express|0|2% cash back on eligible business purchases|up to $50,000 per calendar year then 1%|All Purchases|Permanent|N/A|False|2025-12-07|Everyday Cashback|Cashback|2
Capital One|Capital One Spark Cash Plus|150|Unlimited 2% cash back on every purchase||All Purchases|Permanent|N/A|False|2025-12-07|Flat Cashback|Cashback|2
Capital One|Capital One Spark Cash Plus|150|5% cash back on hotels and rental cars booked through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-12-07|Portal Hotels & Cars|Cashback|5
Capital One|Capital One Spark Cash Plus|150|Annual fee refunded as statement credit|when you spend $150,000+ annually|Annual Fee Refund|Annually (cardmember year)|150|False|2025-12-07|Annual Fee Refund|Credit|150
Capital One|Capital One Spark Miles for Business|95|Unlimited 2x miles on every purchase||All Purchases|Permanent|N/A|False|2025-12-07|Everyday Miles|Multiplier|2
Capital One|Capital One Spark Miles for Business|95|5x miles on hotels and rental cars booked through Capital One Travel||Hotel,Rental Cars|Permanent|N/A|False|2025-12-07|Portal Hotels & Cars|Multiplier|5
Capital One|Capital One Spark Miles for Business|95|Global Entry or TSA PreCheck fee credit|up to $120 every 4 years|Travel Security|Every 4 years|120|False|2025-12-07|TSA/Global Entry Credit|Credit|120
Capital One|Capital One Spark Miles for Business|95|Hertz Five Star elite status|enrollment required|Rental Cars|Permanent|N/A|True|2025-12-07|Hertz Status|Status|N/A
